Protein, Ligand, E1, E2, E3, E4, E5, E6, E7, E8, E9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMG,9,-8.8,-8.6,-8.6,-8.5,-8.5,-8.4,-8.4,-8.4,-8.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,0,-9.5,-9.4,-9.4,-9.3,-9.3,-9.3,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,1,-9.6,-9.4,-9.3,-9.3,-9.2,-9.1,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,2,-9.5,-9.3,-9.3,-9.3,-9.2,-9.2,-9.2,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,3,-9.5,-9.4,-9.4,-9.3,-9.3,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,4,-9.5,-9.4,-9.4,-9.2,-9.1,-9.1,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,5,-9.6,-9.4,-9.4,-9.3,-9.3,-9.2,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,6,-9.5,-9.4,-9.3,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,7,-9.5,-9.4,-9.4,-9.3,-9.2,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,8,-9.5,-9.4,-9.3,-9.3,-9.2,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGGMM,9,-9.4,-9.4,-9.3,-9.3,-9.2,-9.1,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,0,-8.9,-8.8,-8.7,-8.7,-8.6,-8.5,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,1,-8.9,-8.7,-8.6,-8.6,-8.5,-8.5,-8.5,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,2,-8.9,-8.7,-8.6,-8.6,-8.5,-8.5,-8.3,-8.2,-8.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,3,-8.9,-8.7,-8.6,-8.5,-8.4,-8.4,-8.4,-8.4,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,4,-8.9,-8.7,-8.7,-8.6,-8.6,-8.5,-8.4,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,5,-8.9,-8.7,-8.6,-8.6,-8.5,-8.5,-8.4,-8.4,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,6,-8.9,-8.7,-8.6,-8.5,-8.5,-8.5,-8.4,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,7,-8.9,-8.8,-8.6,-8.6,-8.5,-8.5,-8.4,-8.3,-8.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,8,-8.9,-8.8,-8.6,-8.6,-8.6,-8.6,-8.5,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGG,9,-8.9,-8.8,-8.7,-8.6,-8.6,-8.6,-8.5,-8.4,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,0,-9.0,-9.0,-8.9,-8.9,-8.8,-8.8,-8.7,-8.7,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,1,-9.2,-9.1,-9.1,-9.0,-9.0,-8.9,-8.8,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,2,-9.0,-9.0,-9.0,-9.0,-8.8,-8.8,-8.8,-8.8,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,3,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0,-8.8,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,4,-9.0,-9.0,-9.0,-8.9,-8.9,-8.8,-8.8,-8.7,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,5,-9.0,-9.0,-8.9,-8.9,-8.9,-8.8,-8.8,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,6,-9.0,-9.0,-9.0,-9.0,-8.9,-8.9,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,7,-9.0,-8.9,-8.9,-8.8,-8.8,-8.7,-8.7,-8.7,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,8,-9.1,-9.0,-9.0,-8.9,-8.9,-8.9,-8.8,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMGM,9,-9.0,-9.0,-8.9,-8.9,-8.8,-8.8,-8.8,-8.7,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,0,-9.4,-9.3,-9.2,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,1,-9.9,-9.8,-9.7,-9.6,-9.6,-9.6,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,2,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,3,-9.5,-9.3,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,4,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,5,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.0,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,6,-9.5,-9.4,-9.3,-9.2,-9.2,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,7,-9.5,-9.3,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,8,-9.9,-9.8,-9.7,-9.7,-9.6,-9.5,-9.5,-9.5,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMG,9,-9.4,-9.4,-9.3,-9.2,-9.2,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,0,-9.5,-9.5,-9.1,-9.1,-9.0,-9.0,-9.0,-9.0,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,1,-9.6,-9.4,-9.2,-9.2,-9.1,-9.1,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,2,-9.7,-9.6,-9.3,-9.2,-9.2,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,3,-9.6,-9.5,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,4,-9.7,-9.6,-9.2,-9.1,-9.1,-9.1,-9.1,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,5,-9.6,-9.5,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,6,-9.6,-9.4,-9.1,-9.1,-9.1,-9.1,-9.1,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,7,-9.6,-9.5,-9.2,-9.1,-9.1,-9.0,-9.0,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,8,-9.7,-9.5,-9.3,-9.3,-9.1,-9.1,-9.1,-9.1,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GGMMM,9,-9.7,-9.6,-9.2,-9.2,-9.2,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,0,-10.2,-10.0,-10.0,-10.0,-9.8,-9.8,-9.7,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,1,-10.2,-10.0,-10.0,-9.9,-9.8,-9.8,-9.6,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,2,-10.2,-10.0,-10.0,-9.7,-9.7,-9.7,-9.6,-9.6,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,3,-10.2,-10.0,-9.8,-9.7,-9.7,-9.6,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,4,-10.2,-10.0,-10.0,-9.8,-9.7,-9.7,-9.6,-9.5,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,5,-10.2,-10.0,-9.9,-9.9,-9.7,-9.6,-9.6,-9.6,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,6,-10.2,-10.1,-10.0,-10.0,-9.9,-9.8,-9.8,-9.7,-9.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,7,-10.2,-10.0,-10.0,-9.8,-9.8,-9.7,-9.7,-9.7,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,8,-10.2,-10.1,-10.0,-9.8,-9.7,-9.7,-9.7,-9.6,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGG,9,-10.0,-9.9,-9.9,-9.8,-9.6,-9.5,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,0,-10.0,-9.9,-9.9,-9.8,-9.8,-9.7,-9.6,-9.6,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,1,-10.1,-10.1,-10.0,-10.0,-9.9,-9.7,-9.7,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,2,-10.0,-10.0,-9.9,-9.8,-9.8,-9.7,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,3,-9.5,-9.5,-9.4,-9.2,-9.2,-9.1,-9.1,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,4,-9.6,-9.5,-9.5,-9.3,-9.3,-9.3,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,5,-9.6,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,6,-10.1,-10.1,-10.0,-10.0,-9.9,-9.9,-9.9,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,7,-9.9,-9.8,-9.8,-9.6,-9.6,-9.6,-9.6,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,8,-9.6,-9.5,-9.4,-9.4,-9.2,-9.2,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGGM,9,-10.0,-9.9,-9.8,-9.6,-9.6,-9.5,-9.4,-9.4,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,0,-9.7,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,1,-9.6,-9.4,-9.4,-9.2,-9.2,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,2,-9.5,-9.3,-9.3,-9.3,-9.2,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,3,-9.7,-9.5,-9.3,-9.3,-9.2,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,4,-8.7,-8.6,-8.6,-8.6,-8.5,-8.5,-8.5,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,5,-9.6,-9.5,-9.5,-9.4,-9.4,-9.3,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,6,-9.7,-9.6,-9.5,-9.5,-9.3,-9.3,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,7,-9.9,-9.6,-9.5,-9.5,-9.4,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,8,-9.7,-9.4,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMG,9,-10.2,-9.8,-9.8,-9.8,-9.7,-9.7,-9.7,-9.7,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,0,-10.2,-9.7,-9.6,-9.6,-9.6,-9.5,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,1,-10.3,-9.9,-9.8,-9.7,-9.5,-9.4,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,2,-10.3,-9.8,-9.8,-9.8,-9.7,-9.5,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,3,-10.3,-9.9,-9.8,-9.7,-9.7,-9.5,-9.5,-9.5,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,4,-10.3,-9.9,-9.8,-9.8,-9.7,-9.6,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,5,-10.2,-9.8,-9.8,-9.7,-9.6,-9.5,-9.5,-9.5,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,6,-10.3,-9.8,-9.8,-9.7,-9.6,-9.5,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,7,-10.3,-9.8,-9.8,-9.7,-9.7,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,8,-10.3,-9.8,-9.8,-9.7,-9.6,-9.6,-9.6,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMGMM,9,-10.3,-9.8,-9.8,-9.7,-9.6,-9.6,-9.5,-9.5,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,0,-9.1,-8.9,-8.9,-8.7,-8.7,-8.6,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,1,-9.1,-8.9,-8.9,-8.9,-8.8,-8.7,-8.7,-8.6,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,2,-9.1,-8.9,-8.9,-8.9,-8.7,-8.6,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,3,-9.1,-9.0,-8.9,-8.9,-8.7,-8.6,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,4,-9.1,-8.9,-8.9,-8.8,-8.7,-8.6,-8.6,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,5,-9.1,-8.9,-8.9,-8.8,-8.7,-8.7,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,6,-9.1,-8.9,-8.8,-8.8,-8.7,-8.7,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,7,-9.1,-8.9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,8,-9.1,-8.9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGG,9,-9.1,-9.0,-8.8,-8.7,-8.7,-8.6,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,0,-9.6,-9.5,-9.5,-9.4,-9.4,-9.4,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,1,-9.6,-9.5,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,2,-9.7,-9.6,-9.5,-9.5,-9.4,-9.4,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,3,-9.6,-9.6,-9.4,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,4,-9.6,-9.5,-9.5,-9.4,-9.4,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,5,-9.7,-9.6,-9.5,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,6,-9.7,-9.7,-9.5,-9.5,-9.5,-9.4,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,7,-9.6,-9.6,-9.4,-9.4,-9.4,-9.3,-9.2,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,8,-9.6,-9.6,-9.6,-9.4,-9.4,-9.4,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMGM,9,-9.6,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,0,-9.6,-9.6,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,1,-9.8,-9.6,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,2,-9.7,-9.6,-9.5,-9.4,-9.3,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,3,-9.7,-9.5,-9.4,-9.4,-9.3,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,4,-9.8,-9.6,-9.5,-9.5,-9.4,-9.4,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,5,-9.8,-9.7,-9.5,-9.4,-9.4,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,6,-9.8,-9.6,-9.5,-9.4,-9.4,-9.4,-9.3,-9.3,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,7,-9.6,-9.4,-9.4,-9.2,-9.2,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,8,-9.7,-9.6,-9.4,-9.3,-9.3,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMG,9,-9.7,-9.5,-9.5,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,0,-9.6,-9.6,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,1,-9.5,-9.5,-9.4,-9.2,-9.2,-9.2,-9.2,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,2,-9.5,-9.5,-9.5,-9.4,-9.2,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,3,-9.5,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,4,-9.7,-9.7,-9.6,-9.5,-9.5,-9.4,-9.4,-9.4,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,5,-9.6,-9.5,-9.5,-9.3,-9.3,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,6,-9.5,-9.4,-9.4,-9.3,-9.3,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,7,-9.5,-9.4,-9.3,-9.3,-9.3,-9.2,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,8,-9.6,-9.6,-9.4,-9.4,-9.3,-9.2,-9.2,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_GMMMM,9,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,0,-9.8,-9.7,-9.6,-9.6,-9.4,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,1,-9.8,-9.7,-9.6,-9.6,-9.3,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,2,-9.8,-9.7,-9.5,-9.3,-9.3,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,3,-9.6,-9.6,-9.5,-9.5,-9.3,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,4,-9.8,-9.7,-9.6,-9.6,-9.3,-9.3,-9.2,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,5,-9.8,-9.7,-9.6,-9.5,-9.3,-9.3,-9.2,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,6,-9.7,-9.7,-9.6,-9.3,-9.3,-9.3,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,7,-9.7,-9.7,-9.6,-9.4,-9.4,-9.3,-9.3,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,8,-9.7,-9.6,-9.5,-9.5,-9.3,-9.3,-9.2,-9.2,-9.2
